familyLanguage	nc_sim	nc_sim_credI	nc_ident	nc_ident_credI	feat_sim	feat_sim_credI	feat_ident	feat_ident_credI
nakh-daghestanian_dargwa	0.177	[ -0.814 ,  1.117 ]	0.416	[ -0.108 ,  0.996 ]	0.177	[ -0.814 ,  1.117 ]	0.416	[ -0.108 ,  0.996 ]
nakh-daghestanian_lak	0.214	[ -0.812 ,  1.203 ]	0.363	[ -0.189 ,  0.916 ]	0.214	[ -0.812 ,  1.203 ]	0.363	[ -0.189 ,  0.916 ]
nakh-daghestanian_lezgian	-0.088	[ -1.051 ,  0.755 ]	0.538	[ 0.083 ,  1.135 ]	-0.088	[ -1.051 ,  0.755 ]	0.538	[ 0.083 ,  1.135 ]
nakh-daghestanian_tsez	-0.11	[ -1.081 ,  0.84 ]	0.426	[ -0.138 ,  0.997 ]	-0.11	[ -1.081 ,  0.84 ]	0.426	[ -0.138 ,  0.997 ]
nivkh_nivkh	0.36	[ -0.611 ,  1.357 ]	0.277	[ -0.292 ,  0.805 ]	0.36	[ -0.611 ,  1.357 ]	0.277	[ -0.292 ,  0.805 ]
sino-tibetan_mandarin.chinese	0.415	[ -0.447 ,  1.292 ]	0.153	[ -0.481 ,  0.638 ]	0.415	[ -0.447 ,  1.292 ]	0.153	[ -0.481 ,  0.638 ]
tungusic_evenki	0.153	[ -0.851 ,  1.085 ]	0.494	[ 0.017 ,  1.085 ]	0.153	[ -0.851 ,  1.085 ]	0.494	[ 0.017 ,  1.085 ]
tungusic_manchu	0.172	[ -0.939 ,  1.13 ]	0.408	[ -0.12 ,  0.994 ]	0.172	[ -0.939 ,  1.13 ]	0.408	[ -0.12 ,  0.994 ]
tungusic_nanai	0.472	[ -0.404 ,  1.395 ]	0.354	[ -0.162 ,  0.858 ]	0.472	[ -0.404 ,  1.395 ]	0.354	[ -0.162 ,  0.858 ]
turkic_bashkir	-0.129	[ -1.049 ,  0.673 ]	0.531	[ 0.07 ,  1.116 ]	-0.129	[ -1.049 ,  0.673 ]	0.531	[ 0.07 ,  1.116 ]
turkic_chuvash	0.211	[ -0.677 ,  1.038 ]	0.264	[ -0.278 ,  0.751 ]	0.211	[ -0.677 ,  1.038 ]	0.264	[ -0.278 ,  0.751 ]
turkic_kazakh	0.85	[ 0.035 ,  1.854 ]	0.263	[ -0.289 ,  0.767 ]	0.85	[ 0.035 ,  1.854 ]	0.263	[ -0.289 ,  0.767 ]
turkic_north.azerbaijani	0.548	[ -0.262 ,  1.548 ]	0.477	[ 0.024 ,  1.057 ]	0.548	[ -0.262 ,  1.548 ]	0.477	[ 0.024 ,  1.057 ]
turkic_northern.uzbek	0.418	[ -0.371 ,  1.294 ]	0.244	[ -0.309 ,  0.738 ]	0.418	[ -0.371 ,  1.294 ]	0.244	[ -0.309 ,  0.738 ]
turkic_sakha	0.185	[ -0.676 ,  1.083 ]	0.519	[ 0.056 ,  1.134 ]	0.185	[ -0.676 ,  1.083 ]	0.519	[ 0.056 ,  1.134 ]
turkic_tatar	0.428	[ -0.365 ,  1.258 ]	0.204	[ -0.345 ,  0.663 ]	0.428	[ -0.365 ,  1.258 ]	0.204	[ -0.345 ,  0.663 ]
turkic_turkish	0.38	[ -0.466 ,  1.301 ]	0.485	[ 0.036 ,  1.06 ]	0.38	[ -0.466 ,  1.301 ]	0.485	[ 0.036 ,  1.06 ]
uralic_erzya	0.152	[ -0.815 ,  1.043 ]	0.327	[ -0.199 ,  0.865 ]	0.152	[ -0.815 ,  1.043 ]	0.327	[ -0.199 ,  0.865 ]
uralic_estonian	0.383	[ -0.472 ,  1.257 ]	0.308	[ -0.214 ,  0.809 ]	0.383	[ -0.472 ,  1.257 ]	0.308	[ -0.214 ,  0.809 ]
uralic_finnish	0.41	[ -0.485 ,  1.32 ]	0.362	[ -0.122 ,  0.873 ]	0.41	[ -0.485 ,  1.32 ]	0.362	[ -0.122 ,  0.873 ]
uralic_forest.enets	0.071	[ -0.804 ,  0.907 ]	0.381	[ -0.099 ,  0.918 ]	0.071	[ -0.804 ,  0.907 ]	0.381	[ -0.099 ,  0.918 ]
uralic_hill.mari	0.031	[ -0.837 ,  0.86 ]	0.693	[ 0.205 ,  1.325 ]	0.031	[ -0.837 ,  0.86 ]	0.693	[ 0.205 ,  1.325 ]
uralic_hungarian	0.03	[ -0.834 ,  0.908 ]	0.513	[ 0.057 ,  1.099 ]	0.03	[ -0.834 ,  0.908 ]	0.513	[ 0.057 ,  1.099 ]
uralic_inari.sami	0.565	[ -0.256 ,  1.456 ]	0.261	[ -0.263 ,  0.739 ]	0.565	[ -0.256 ,  1.456 ]	0.261	[ -0.263 ,  0.739 ]
uralic_kildin.sami	0.363	[ -0.625 ,  1.31 ]	0.179	[ -0.446 ,  0.691 ]	0.363	[ -0.625 ,  1.31 ]	0.179	[ -0.446 ,  0.691 ]
uralic_komi-permyak	0.154	[ -0.788 ,  1.041 ]	0.378	[ -0.121 ,  0.898 ]	0.154	[ -0.788 ,  1.041 ]	0.378	[ -0.121 ,  0.898 ]
uralic_komi-zyrian	0.062	[ -0.901 ,  0.994 ]	0.376	[ -0.142 ,  0.911 ]	0.062	[ -0.901 ,  0.994 ]	0.376	[ -0.142 ,  0.911 ]
